no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
OC5937,BLUE,HOLDEN,1972,CAR,2024-05-08,Counties/Manukau,4,May,52
QPJ304,SILVER,TOYOTA,2016,CAR,2024-05-09,Counties/Manukau,4,May,8
NFZ193,SILVER,TOYOTA,2015,CAR,2024-05-09,Counties/Manukau,4,May,9
AQU750,RED,HOLDEN,2002,CAR,2024-05-09,Counties/Manukau,4,May,22
NNZ435,GREY,NISSAN,2021,UTILITY TRUCK,2024-05-09,Counties/Manukau,4,May,3
QMU984,WHITE,TOYOTA,2014,CAR,2024-05-09,Counties/Manukau,4,May,10
DFC649,SILVER,AUDI,2006,CAR,2024-05-09,Counties/Manukau,4,May,18
GSS397,SILVER,HONDA,2004,CAR,2024-05-09,Counties/Manukau,4,May,20
HPE187,BLUE,INTERNATIONAL,2014,UTILITY TRUCK,2024-05-09,Counties/Manukau,4,May,10
BRT800,BLACK,MERCEDES-BENZ,2003,CAR,2024-05-09,Counties/Manukau,4,May,21
HRF693,BROWN,NISSAN,2007,CAR,2024-05-09,Counties/Manukau,4,May,17
HUK573,GREEN,NISSAN,2007,CAR,2024-05-09,Counties/Manukau,4,May,17
JFW20,WHITE,BMW,2009,CAR,2024-05-09,Counties/Manukau,4,May,15
DNK76,WHITE,MERCEDES-BENZ,1987,CAR,2024-05-09,Counties/Manukau,4,May,37
DYL825,SILVER,TOYOTA,1998,CAR,2024-05-09,Counties/Manukau,4,May,26
NWZ306,WHITE,TOYOTA,2021,CAR,2024-05-10,Counties/Manukau,4,May,3
NUN224,GREY,MAZDA,2003,CAR,2024-05-10,Counties/Manukau,4,May,21
MUD181,WHITE,NISSAN,2006,CAR,2024-05-10,Counties/Manukau,4,May,18
GMH697,BLUE,FORD,2012,CAR,2024-05-10,Counties/Manukau,4,May,12
GBL430,SILVER,NISSAN,2006,CAR,2024-05-10,Counties/Manukau,4,May,18
438M4,SILVER,HOMEBUILT,2022,TRAILER,2024-05-10,Counties/Manukau,4,May,2
