no_plate,color,company_name,model_year,vehicle_type,date_stolen,district_name,No_Police_Areas,month,vehicle_age
GYW326,GREY,HONDA,2006,CAR,2024-05-14,Counties/Manukau,4,May,18
7EEMO,BLUE,YAMAHA,2023,MOTORCYCLE,2024-05-14,Counties/Manukau,4,May,1
60Y82,SILVER,PINTO,2020,TRAILER,2024-05-14,Counties/Manukau,4,May,4
FSU128,GREY,NISSAN,2001,CAR,2024-05-14,Counties/Manukau,4,May,23
GDY413,SILVER,NISSAN,2003,CAR,2024-05-14,Counties/Manukau,4,May,21
HDT603,GOLD,NISSAN,2004,CAR,2024-05-14,Counties/Manukau,4,May,20
FTN8,WHITE,HONDA,2002,CAR,2024-05-15,Counties/Manukau,4,May,22
27E97,SILVER,BRIFORD,2019,TRAILER,2024-05-15,Counties/Manukau,4,May,5
FFN773,SILVER,NISSAN,2005,CAR,2024-05-15,Counties/Manukau,4,May,19
UX3632,GOLD,HONDA,1997,CAR,2024-05-15,Counties/Manukau,4,May,27
EDQ232,BLACK,AUDI,2005,CAR,2024-05-15,Counties/Manukau,4,May,19
LSZ457,RED,TOYOTA,2018,CAR,2024-05-15,Counties/Manukau,4,May,6
QFD111,BLUE,TOYOTA,2023,CAR,2024-05-15,Counties/Manukau,4,May,1
QEQ747,WHITE,TOYOTA,2014,CAR,2024-05-15,Counties/Manukau,4,May,10
HLG378,BLACK,TOYOTA,2004,CAR,2024-05-15,Counties/Manukau,4,May,20
KMG295,WHITE,HOLDEN,2017,CAR,2024-05-15,Counties/Manukau,4,May,7
7Z534,SILVER,HOMEBUILT,2017,TRAILER,2024-05-15,Counties/Manukau,4,May,7
PKG7,SILVER,HONDA,1996,CAR,2024-05-15,Counties/Manukau,4,May,28
GGR538,SILVER,NISSAN,2000,CAR,2024-05-15,Counties/Manukau,4,May,24
GHT272,WHITE,MITSUBISHI,2005,CAR,2024-05-15,Counties/Manukau,4,May,19
NEM117,GREEN,TOYOTA,2015,CAR,2024-05-15,Counties/Manukau,4,May,9
RUD3,WHITE,VOLKSWAGEN,2014,CAR,2024-05-15,Counties/Manukau,4,May,10
MWA358,WHITE,SUBARU,1998,CAR,2024-05-16,Counties/Manukau,4,May,26
MLA605,BLUE,MAZDA,2003,CAR,2024-05-16,Counties/Manukau,4,May,21
NEQ192,SILVER,TOYOTA,2012,CAR,2024-05-16,Counties/Manukau,4,May,12
HWE321,SILVER,TOYOTA,2004,CAR,2024-05-16,Counties/Manukau,4,May,20
GTZ487,GREY,SUBARU,2009,CAR,2023-10-14,Waikato,3,October,15
PSL436,BLACK,SUZUKI,2013,CAR,2023-10-14,Waikato,3,October,11
KLU410,GOLD,NISSAN,2005,CAR,2023-10-15,Waikato,3,October,19
GGN700,SILVER,HONDA,2000,CAR,2023-10-15,Waikato,3,October,24
KTN57,BLACK,MITSUBISHI,2006,CAR,2023-10-15,Waikato,3,October,18
Q32W,SILVER,HOMEBUILT,2010,TRAILER,2023-10-15,Waikato,3,October,14
FHH710,BLACK,VOLKSWAGEN,2007,CAR,2023-10-17,Waikato,3,October,17
JZK855,WHITE,TOYOTA,2010,CAR,2023-10-18,Waikato,3,October,14
ZX2255,BROWN,HOLDEN,2001,CAR,2023-10-18,Waikato,3,October,23
C7PPR,WHITE,MOPED,2019,MOTORCYCLE,2023-10-19,Waikato,3,October,5
39T15,SILVER,BRIFORD,2019,TRAILER,2023-10-21,Waikato,3,October,5
644Y4,GREY,CUSTOMBUILT,2005,TRAILER,2023-10-22,Waikato,3,October,19
CMJ273,WHITE,FORD,2005,UTILITY TRUCK,2023-10-22,Waikato,3,October,19
495G9,GREY,TUI-TRAILERS,2023,TRAILER,2023-10-23,Waikato,3,October,1
HLJ996,RED,MAZDA,2014,CAR,2023-10-23,Waikato,3,October,10
93ZDH,BLACK,SUZUKI,2007,MOTORCYCLE,2023-10-23,Waikato,3,October,17
JZJ708,BLACK,MAZDA,2004,CAR,2023-10-24,Waikato,3,October,20
U829M,GREY,HOMEBUILT,2012,TRAILER,2023-10-24,Waikato,3,October,12
KNQ130,BLACK,MAZDA,2010,CAR,2023-10-24,Waikato,3,October,14
15R91,SILVER,KEA,2018,TRAILER,2023-10-24,Waikato,3,October,6
N200B,SILVER,HOMEBUILT,2004,TRAILER,2023-10-24,Waikato,3,October,20
DUU690,SILVER,MAZDA,2007,CAR,2023-10-25,Waikato,3,October,17
LTC321,WHITE,FORD,2005,CAR,2023-10-25,Waikato,3,October,19
K363L,SILVER,KEA,2007,TRAILER,2023-10-26,Waikato,3,October,17
HHR615,GREY,SUZUKI,2014,CAR,2023-10-27,Waikato,3,October,10
EDZ298,BLUE,FORD,2003,CAR,2023-10-27,Waikato,3,October,21
KM6349,YELLOW,BLMC,1982,CAR,2023-10-27,Waikato,3,October,42
OK9017,WHITE,MAZDA,1984,VAN,2023-10-27,Waikato,3,October,40
QAJ813,GREY,HOLDEN,2001,CAR,2023-10-29,Waikato,3,October,23
EDB494,WHITE,NISSAN,1999,CAR,2023-10-29,Waikato,3,October,25
529M4,SILVER,HOMEBUILT,2023,TRAILER,2023-10-31,Waikato,3,October,1
ZG3766,WHITE,SUBARU,2000,CAR,2023-10-31,Waikato,3,October,24
GZC572,WHITE,TOYOTA,2013,UTILITY TRUCK,2023-11-01,Waikato,3,November,11
MTK623,GREY,NISSAN,2007,CAR,2023-11-01,Waikato,3,November,17
478Z5,SILVER,HOMEBUILT,2010,TRAILER,2023-11-01,Waikato,3,November,14
NNN956,BLACK,NISSAN,2006,CAR,2023-11-02,Waikato,3,November,18
MPY160,RED,TOYOTA,2014,CAR,2023-11-02,Waikato,3,November,10
N47000,RED,HONDA,2021,ATV,2023-11-02,Waikato,3,November,3
ERH48,RED,TOYOTA,2008,CAR,2023-11-02,Waikato,3,November,16
DWK541,GREY,TOYOTA,1999,CAR,2023-11-02,Waikato,3,November,25
CCK713,SILVER,MAZDA,2004,CAR,2023-11-02,Waikato,3,November,20
B9JKT,BLACK,FORZA,2018,MOTORCYCLE,2023-11-03,Waikato,3,November,6
FWG986,SILVER,TOYOTA,2011,CAR,2023-11-04,Waikato,3,November,13
68H66,SILVER,HOMEBUILT,2020,TRAILER,2023-11-04,Waikato,3,November,4
88P90,SILVER,ROADCHIEF,2021,TRAILER,2023-11-04,Waikato,3,November,3
EQQ721,GREY,FORD,2008,CAR,2023-11-06,Waikato,3,November,16
ADP559,BLUE,MAZDA,1993,CAMPER,2023-11-06,Waikato,3,November,31
PSB973,WHITE,FORD,2007,CAR,2023-11-07,Waikato,3,November,17
28ZJY,SILVER,YAMAHA,2008,MOTORCYCLE,2023-11-07,Waikato,3,November,16
PSB973,WHITE,FORD,2007,CAR,2023-11-08,Waikato,3,November,17
ATN990,SILVER,NISSAN,1999,CAR,2023-11-08,Waikato,3,November,25
P850Q,SILVER,HOMEBUILT,2008,TRAILER,2023-11-08,Waikato,3,November,16
BJW932,GREEN,MITSUBISHI,2003,CAR,2023-11-09,Waikato,3,November,21
1312P,SILVER,KEA,1999,TRAILER,2023-11-10,Waikato,3,November,25
620K6,SILVER,HOMEBUILT,2023,TRAILER,2023-11-10,Waikato,3,November,1
GSW131,BLACK,HOLDEN,2013,CAR,2023-11-11,Waikato,3,November,11
C6LSK,BLUE,YAMAHA,2022,MOTORCYCLE,2023-11-11,Waikato,3,November,2
LFD30,BLACK,NISSAN,2013,CAR,2023-11-11,Waikato,3,November,11
139C6,SILVER,FACTORY BUILT,2021,TRAILER,2023-11-11,Waikato,3,November,3
2F338,SILVER,HOMEBUILT,2015,TRAILER,2023-11-11,Waikato,3,November,9
HGT18,BROWN,FORD,2010,CAR,2023-11-12,Waikato,3,November,14
KBP852,GREY,BMW,2004,CAR,2023-11-12,Waikato,3,November,20
