no_plate,color,company_name,vehicle_desc,model_year,vehicle_type,date_stolen,district_name
14YPB,Red,Motorcycle,RANGER Q250T,2006,Moped,2/27/2024,Counties/Manukau
153A4,Silver,Trailer,HOMEBUILT,2022,Trailer,1/30/2024,Wellington
156H2,Silver,Trailer,MSC 8X5,2021,Trailer,5/2/2024,Central
158A2,Silver,Trailer,BSTB858,2021,Trailer,3/16/2024,Waitemata
158Z8,Silver,Briford,"7X4'6""",2021,Trailer,3/28/2024,Canterbury
15F92,Silver,Titan,DOMESTIC TRAILER,2018,Trailer,1/30/2024,Bay of Plenty
15H31,Grey,Homebuilt,DIVEMASTER,1993,Boat Trailer,12/14/2023,Canterbury
15LMR,Yellow,Custombuilt,10' CAMPER,1981,Trailer,4/21/2024,Canterbury
161AM,Silver,Briford,7X4 TIPPER,2002,Trailer,1/23/2024,Canterbury
16B49,Silver,Trailer,COMPASS-KH85T,2018,Trailer,4/22/2024,Waitemata
16Q29,Silver,Trailer,ELITE 8X4,2018,Trailer,4/8/2024,Canterbury
16U26,Silver,Trailer,GT,2019,Trailer,12/6/2023,Counties/Manukau
171K8,Grey,Caravan,DIRT ROAD XTREME,2021,Caravan,4/15/2024,Central
172J8,Silver,Titan,DOMESTIC TRAILER,2021,Trailer,12/15/2023,Counties/Manukau
172L6,Silver,Titan,DOMESTIC TRAILER,2021,Trailer,1/20/2024,Eastern
172P8,Silver,Trailer,TRAILER,2021,Trailer,4/7/2024,Canterbury
1794Y,Grey,Kea,K64SE,2001,Trailer,3/16/2024,Eastern
179B3,Silver,Trailer,DOMESTIC,2021,Trailer,2/4/2024,Counties/Manukau
17G72,Silver,Trailer,IFOR WILLIAMS,2018,Trailer - Heavy,5/6/2024,Wellington
17Q35,Silver,Kea,K844XA,2018,Trailer,12/5/2023,Bay of Plenty
17T20,Silver,Trailer,TILT DECK,2018,Trailer,1/23/2024,Bay of Plenty
185G9,Silver,Trailer,BRIAN JAMES CONNECT,2021,Trailer,11/22/2023,Canterbury
187M,Grey,Roadmaster,SINGLE AXLE,1997,Boat Trailer,4/9/2024,Waikato
188N4,Silver,Aakron Xpress,GOODS TRAILER,2021,Trailer,2/8/2024,Auckland City
18F68,White,Trailer,ENCLOSED,2018,Trailer - Heavy,4/10/2024,Counties/Manukau
195Y8,Silver,Lochiel,3.5X2 PLATFORM,2021,Trailer,5/13/2024,Southern
197F5,Blue,Trailer,DAYTECH,2022,Trailer,11/25/2023,Central
197F5,Blue,Trailer,DAYTECH,2022,Trailer,12/3/2023,Central
198G8,Silver,Trailer,X-TRAILER,2021,Trailer,3/25/2024,Auckland City
19H81,Black,Briford,8X4 BBQ,2014,Trailer - Heavy,4/3/2024,Counties/Manukau
1B266,Silver,Trailer,DOMESTIC TRAILER,2014,Trailer,12/8/2023,Waitemata
1B369,White,Caravan,LUNAR LEXON,2004,Caravan,5/7/2024,Waikato
1C929,Grey,Trailer,HAULMARK FL4X6DS0,2014,Trailer - Heavy,11/18/2023,Southern
1G396,Silver,Liteweight,JETSKI,2015,Boat Trailer,2/15/2024,Central
1M104,Grey,Trailer,DOMESTIC,2015,Trailer,4/1/2024,Waitemata
1M611,Silver,Trailer,BRIFORD 7X4 1000,2015,Trailer,1/10/2024,Southern
1N309,Silver,Kea,K645S,2015,Boat Trailer,4/26/2024,Counties/Manukau
1N615,White,Trailer,TANK,2015,Trailer - Heavy,12/4/2023,Waikato
1P849,Orange,Trailer,VER-MAC PCMS 320X,2015,Trailer - Heavy,11/21/2023,Wellington
1YIN1,Yellow,Mitsubishi,LANCER,2001,Saloon,2/12/2024,Waitemata
206HR,Yellow,Trailer,HOMEMADE,1961,Trailer,5/7/2024,Waikato
206M6,Silver,Titan,DOMESTIC TRAILER,2021,Trailer,2/16/2024,Central
206Q6,Silver,Titan,DOMESTIC TRAILER,2021,Trailer,4/4/2024,Eastern
20C33,Grey,Trailer,DOUBLE TANDEM,2017,Trailer,2/5/2024,Waikato
211Q9,Grey,Trailer,DOMESTIC,2021,Trailer,12/8/2023,Waitemata
217S1,Silver,Trailer,6X4,2021,Trailer,1/19/2024,Canterbury
219E2,Silver,Trailer,DOUBLE AXLE LIGHT,2021,Trailer,3/28/2024,Auckland City
21U96,Silver,Factory Built,CONCEPT TRAILERS,2018,Trailer,3/10/2024,Central
224C1,Grey,Trailer,DOMESTIC,2021,Trailer,1/9/2024,Waikato
227W9,Silver,Trailer,8X4 CHARGER TRAILER,2022,Trailer,4/20/2024,Canterbury
22D69,Silver,Trailer,HOMEBUILT,2018,Trailer,4/4/2024,Canterbury
22E48,Silver,Trailer,TANKER,2018,Trailer - Heavy,1/13/2024,Waikato
22H35,Silver,Homebuilt,TRAILER,2018,Trailer,12/23/2023,Canterbury
22NAH,White,Custombuilt,FIVESTAR 450,1984,Caravan,12/1/2023,Waikato
22PIU,Grey,Custombuilt,ALAN BUILT,1985,Trailer,5/16/2024,Waikato
22T79,Grey,Trailer,JFK JETSKI,2018,Boat Trailer,3/14/2024,Bay of Plenty
22WNM,Silver,Factory Built,SYM EURO JET X,2005,Moped,12/15/2023,Auckland City
2323Y,Green,Trailer,LOCAL,2001,Trailer,2/3/2024,Central
2326E,Yellow,Sprite,106,1974,Caravan,11/17/2023,Central
233Y6,Silver,Trailer,CUSTOM,2022,Boat Trailer,4/1/2024,Auckland City
234H3,Silver,Trailer,UTBT,2022,Trailer,3/27/2024,Bay of Plenty
237C3,Silver,Trailer,SRT 3500KG EXCAVATOR,2022,Trailer,3/4/2024,Tasman
23J10,Silver,Trailer,COMPASS-E3469,2018,Trailer,11/17/2023,Waitemata
23U46,Silver,Trailer,ELITE 8X4,2018,Trailer,5/9/2024,Canterbury
243P9,White,Trailer,LUNAR QUASAR 546,2010,Caravan,1/31/2024,Bay of Plenty
24S65,Silver,Trailer,TRAYLA,2018,Trailer,3/25/2024,Central
254B6,Silver,Trailer,DOMESTIC TRAILER,2022,Trailer,4/8/2024,Tasman
254S8,Silver,Kea,TANDEM,2022,Trailer,4/4/2024,Bay of Plenty
259Q6,Silver,Trailer,HOMEBUILT,2022,Trailer,2/14/2024,Counties/Manukau
25T96,Silver,Briford,8X4 TANDEM,2017,Trailer,4/22/2024,Canterbury
25U25,Grey,Trailer,TUI TRAILERS 8X5,2018,Trailer,12/3/2023,Waikato
2625C,Silver,Trailer,DOMESTIC TRAILER,1996,Trailer,12/21/2023,Waikato
264Z5,Silver,Trailer,MR450,2022,Boat Trailer,3/23/2024,Bay of Plenty
265Z7,Silver,Trailer,SRT 3500KG EXCAVATOR,2022,Trailer,3/4/2024,Bay of Plenty
26K96,Grey,Trailer,DOMESTIC,2019,Trailer,2/18/2024,Southern
26Q83,Black,Trailer,HOMEBUILT,2019,Trailer - Heavy,1/27/2024,Southern
26ZGA,Yellow,Honda,CB,2001,Roadbike,12/9/2023,Counties/Manukau
274D2,Silver,Titan,DOMESTIC TRAILER,2022,Trailer,1/17/2024,Counties/Manukau
275D4,Silver,Factory Built,TRAILUX TRAILER,2022,Trailer,12/1/2023,Wellington
27E97,Silver,Briford,TRAILER,2019,Trailer,5/15/2024,Counties/Manukau
27M24,Silver,Toko,TRAILER,2019,Trailer,12/18/2023,Tasman
27M26,Silver,Toko,KINGFAB TRAILER,2019,Trailer,12/18/2023,Tasman
27N79,Grey,Trailer,FUTURA,2019,Trailer,4/15/2024,Counties/Manukau
284Q6,Silver,Briford,8 X 5 TANDEM,2022,Trailer,11/23/2023,Canterbury
284S5,Silver,Briford,8 X 4 TANDEM,2022,Trailer,12/3/2023,Canterbury
286K7,Silver,Pinto,DOMESTIC TRAILER,2022,Trailer,12/27/2023,Auckland City
2877J,Silver,Pinto,COMMERCIAL,1998,Trailer,11/18/2023,Auckland City
288M5,Silver,Trailer,BRIAN JAMES DIGGER,2022,Trailer,1/10/2024,Waitemata
28G71,Silver,Pinto,TRADE 9X5,2019,Trailer,4/10/2024,Bay of Plenty
290Z2,Silver,Trailer,TANDEM,2022,Trailer,3/14/2024,Tasman
290Z6,Silver,Trailer,X-TRAILERS,2022,Trailer,12/15/2023,Counties/Manukau
294Y6,Silver,Factory Built,BRENT SMITH TRAILERS,2022,Trailer,2/5/2024,Waikato
297Z3,Silver,Trailer,BOAT,2022,Boat Trailer,1/26/2024,Counties/Manukau
299S5,Black,Trailer,HOMEBUILT,2022,Trailer,3/1/2024,Waikato
29E55,Silver,Trailer,BROOKER,2019,Boat Trailer,12/19/2023,Waitemata
29Q18,Silver,Homebuilt,TRAILER,2008,Boat Trailer,2/21/2024,Eastern
29WUB,White,Yamaha,TT250,1996,Roadbike,4/2/2024,Auckland City
2A697,White,Swift,MERIDIAN 480,2000,Caravan,5/5/2024,Canterbury
2C228,Silver,Trailer,CHOOKS,2015,Trailer,11/26/2023,Central
2C679,Silver,Trailer,ELITE 7X4,2015,Trailer,4/29/2024,Canterbury
2G136,Grey,Trailer,ROAD CHIEF,2015,Trailer,3/15/2024,Bay of Plenty
2G230,Silver,Trailer,STREAMLINE 8X5,2015,Trailer,12/3/2023,Wellington
2G331,Grey,Trailer,DOMESTIC TRAILER,2011,Trailer,11/25/2023,Waitemata
2G554,Silver,Trailer,DOMESTIC,2015,Trailer,1/15/2024,Wellington
2H537,Silver,Trailer,ROAD CHEIF,2015,Trailer,1/7/2024,Wellington
2J331,Silver,Trailer,FIRST FD ATV,2015,Trailer,1/30/2024,Eastern
2K238,Silver,Trailer,COMPASS D105,2015,Trailer,2/6/2024,Waikato
2L791,Silver,Briford,TRAILER,2015,Trailer - Heavy,3/1/2024,Auckland City
2Q731,Grey,Trailer,FREWZA,2015,Boat Trailer,3/28/2024,Central
2Q831,Grey,Trailer,HOSKING,2015,Boat Trailer,12/24/2023,Northland
2Q912,Silver,Trailer,AQUAMASTER,2015,Trailer,1/1/2024,Canterbury
2R510,Silver,Briford,TRAILER,2015,Trailer - Heavy,2/8/2024,Wellington
2S200,Grey,Custombuilt,HORSEFLOAT,2015,Trailer,12/18/2023,Northland
2S358,Silver,Trailer,DOMESTIC TRAILER,2015,Trailer,12/26/2023,Tasman
2S779,Green,Briford,8X4 GRAVITY TIPPER,2015,Trailer,1/29/2024,Canterbury
2Z902,Silver,Trailer,TANDEM BOAT,2000,Trailer,4/28/2024,Counties/Manukau
301S,Green,Trailer,HOMEBUILT,2000,Trailer,2/13/2024,Canterbury
307C3,Black,Trailer,HOMEBUILT,2022,Trailer,11/27/2023,Bay of Plenty
308U1,Silver,Briford,8X4,2022,Trailer,1/25/2024,Bay of Plenty
30E31,Silver,Trailer,COMPASS-D105,2019,Trailer,4/11/2024,Canterbury
30K44,Silver,Trailer,GORILLA,2019,Trailer,11/21/2023,Canterbury
30KIO,Grey,Trailer,HOMEMADE,1982,Trailer,5/8/2024,Bay of Plenty
30YHM,Silver,Suzuki,DL1000,2006,Roadbike,3/27/2024,Central
30YTZ,Blue,Yamaha,CV50AW,2007,Moped,2/7/2024,Central
310Y9,Grey,Trailer,CAR TRANSPORT,2022,Trailer,3/27/2024,Northland
310Z3,Grey,Trailer,CAR TRANSPORTER,2022,Trailer,1/30/2024,Counties/Manukau
311MY,Yellow,Trailer,M TRAILER,1969,Trailer - Heavy,3/27/2024,Counties/Manukau
319F7,Silver,Trailer,TINY HOME,2022,Trailer,2/26/2024,Bay of Plenty
319SE,Cream,Vagabond,VAGABOND CAR,1970,Caravan,1/11/2024,Central
323J,Green,Trailer,HOME BUILT,1999,Trailer,1/30/2024,Wellington
325M6,Silver,Kea,K745S,2022,Trailer,4/15/2024,Waikato
327E1,Grey,Trailer,COMMERCIAL,2022,Trailer - Heavy,3/7/2024,Counties/Manukau
328G9,Silver,Trailer,TUFF,2022,Trailer,3/25/2024,Eastern
32963,Red,Honda,XRM125,0,Trail Bike,2/5/2024,Waikato
32B58,Silver,Trailer,TRAYLA,2019,Trailer,4/26/2024,Wellington
32L74,Silver,Trailer,GT DIGGER TRAILER,2019,Trailer - Heavy,4/12/2024,Counties/Manukau
32S38,Silver,Trailer,HOMEMADE,2019,Trailer,11/20/2023,Central
333W7,Silver,Briford,TRAILER,2015,Trailer - Heavy,2/1/2024,Auckland City
334H6,Silver,DMW,TRAILER,2022,Boat Trailer,2/18/2024,Waitemata
338A7,Silver,Trailer,ROAD CHIEF,2022,Trailer,11/24/2023,Bay of Plenty
338M5,Silver,Briford,8X4,2022,Trailer,3/18/2024,Central
33U31,Grey,Hoskings,BOAT TRAILER,2001,Boat Trailer,3/18/2024,Waitemata
33YBR,Gold,Kawasaki,ZR,2005,Roadbike,2/11/2024,Central
33ZWG,Silver,Hyosung,GT,2008,Roadbike,11/24/2023,Waikato
342U6,Silver,Trailer,CT 10X5 TA,2022,Trailer - Heavy,12/5/2023,Counties/Manukau
347K2,Silver,Trailer,HOMEBUILT,2002,Trailer,3/21/2024,Waikato
34G92,Silver,Trailer,ELITE 8X4,2019,Trailer,12/16/2023,Bay of Plenty
350L1,Black,Trailer,FLAT DECK,2022,Trailer,5/6/2024,Counties/Manukau
350SXF,,KTM,SXF350,2011,Trail Bike,2/7/2024,Auckland City
350U3,Silver,Factory Built,CONCEPT TRAILERS,2022,Trailer,3/15/2024,Waikato
354R6,Silver,Trailer,TRAYLA,2022,Trailer,2/23/2024,Wellington
356A8,Silver,Trailer,SAFARI,2022,Trailer,12/30/2023,Central
35B81,Silver,Trailer,DIAMOND,2019,Trailer,5/7/2024,Bay of Plenty
35Y77,White,Caravan,BAILEY INDIANA,2008,Caravan,2/15/2024,Canterbury
35YMT,Black,Harley Davidson,SPORTSTER,2007,Roadbike,1/23/2024,Waitemata
35ZFQ,Silver,Piaggio,VESPA,2008,Roadbike,12/14/2023,Bay of Plenty
36C29,Silver,Briford,TRAILER,2015,Trailer - Heavy,4/23/2024,Waitemata
36J97,Silver,Trailer,TRAYLA,2019,Trailer,2/8/2024,Central
36L73,Silver,Trailer,JETSKI,2019,Boat Trailer,1/6/2024,Northland
36N32,Silver,Trailer,HOMEBUILT BOX BODY,2019,Trailer,3/15/2024,Waikato
370L1,Silver,DMW,PREMIER 480,2022,Boat Trailer,1/18/2024,Bay of Plenty
3722L,Blue,Trailer,LOCAL-HOMEBUILT,1999,Trailer,5/8/2024,Northland
373R8,White,Trailer,HOMEMADE,2016,Trailer,2/3/2024,Waikato
376M1,Grey,Trailer,DOMESTIC,2022,Trailer,1/19/2024,Wellington
377E1,Silver,Trailer,ELITE 10X5,2022,Trailer,4/5/2024,Tasman
378M6,Silver,Trailer,ALL ROAD,2022,Trailer,1/31/2024,Central
37QWN,Red,Trailer,LOCAL,1973,Trailer,11/25/2023,Waikato
37WHG,Blue,Suzuki,SV1000,2004,Roadbike,1/12/2024,Bay of Plenty
380W9,Silver,Kea,K96ST,2022,Trailer,1/25/2024,Tasman
387K6,Gold,Caravan,TITAN 595,2022,Caravan,5/6/2024,Central
387Z4,Silver,Kea,KC106,2022,Trailer,11/25/2023,Central
3882U,Grey,Trailer,HOMEMADE,1990,Trailer,12/12/2023,Southern
3889R,Grey,DMW,SENATOR 540,2000,Boat Trailer,1/10/2024,Bay of Plenty
38D31,Silver,Titan,DOMESTIC TRAILER,2019,Trailer,12/22/2023,Eastern
38WWY,Black,Buell,FIREBOLT,2002,Roadbike,4/5/2024,Wellington
38YRQ,Blue,Yamaha,CV50,2007,Moped,5/1/2024,Southern
390E9,Silver,Trailer,COMMERCIAL,2017,Trailer - Heavy,1/3/2024,Counties/Manukau
391F6,Silver,Trailer,BST2022D,2022,Trailer,2/12/2024,Northland
392C5,Silver,Trailer,DOMESTIC,2017,Trailer,1/19/2024,Counties/Manukau
3992H,White,Oxford,CI15,1979,Caravan,3/3/2024,Canterbury
399Z1,Grey,Trailer,DOMESTIC,2022,Trailer,3/2/2024,Counties/Manukau
39F70,Silver,Trailer,TANDEM,2008,Boat Trailer,5/1/2024,Northland
39H68,Silver,Trailer,TANDEM TRAILER,2019,Trailer,12/13/2023,Bay of Plenty
39K91,Silver,Trailer,TRADE TESTED,2019,Trailer,12/1/2023,Counties/Manukau
39U84,Grey,Trailer,TUFF,2019,Trailer,1/1/2024,Wellington
3A736,Silver,Trailer,BRIFORD 8X4 1000,2015,Trailer,1/12/2024,Southern
3A964,Silver,Trailer,TRAILER WORLD 7X5 HM,2015,Trailer,12/6/2023,Waikato
3B175,Silver,Reid,TRAILER,2015,Trailer - Heavy,11/21/2023,Waitemata
3D262,Silver,Trailer,RANGER,2015,Trailer,5/3/2024,Canterbury
3D400,Silver,Trailer,AES WATERBLASTER,2015,Trailer,4/23/2024,Counties/Manukau
3E323,White,Trailer,SWIFT AZZURA 200,2002,Caravan,4/13/2024,Counties/Manukau
3F977,Silver,Trailer,ROAD CHIEF,2015,Trailer,2/29/2024,Counties/Manukau
3H852,Silver,Trailer,TRAYLA,2015,Trailer,2/10/2024,Wellington
3J157,Silver,Homebuilt,TRAILER,2016,Boat Trailer,1/26/2024,Waitemata
3L324,Silver,Factory Built,BRENT SMITH TRAILERS,2015,Trailer,2/26/2024,Canterbury
3M600,Silver,Trailer,HOMEBUILT,2015,Trailer,3/11/2024,Canterbury
3M653,Silver,Trailer,HOMEBUILT,2016,Trailer,11/28/2023,Canterbury
3U104,Silver,Homebuilt,TRANSPORT TRAILER,2016,Trailer,2/22/2024,Counties/Manukau
3Z449,White,Caravan,COACHMAN AMARA,2006,Caravan,11/28/2023,Canterbury
3Z952,Silver,Trailer,GORILLA,2016,Trailer,3/19/2024,Canterbury
401B9,Silver,Trailer,BSTBD105,2022,Trailer,5/2/2024,Waitemata
406Y8,Silver,Trailer,GT TRAILER DIG25,2022,Trailer,2/17/2024,Counties/Manukau
40R39,Silver,Factory Built,BRENT SMITH TRAILERS,2019,Trailer,12/19/2023,Eastern
40WBQ,Silver,Suzuki,TU250,1995,Roadbike,3/14/2024,Central
40ZKY,Blue,Moped,URBAN R4,2008,Moped,12/30/2023,Counties/Manukau
411E4,Silver,Titan,DOMESTIC TRAILER,2022,Trailer,11/17/2023,Waitemata
4136M,Silver,Trailer,SPORTLINE,1999,Boat Trailer,1/15/2024,Eastern
414U8,Silver,Trailer,UTBT,2019,Trailer,4/8/2024,Waikato
415J2,Silver,Trailer,BSTD106,2022,Trailer,4/2/2024,Auckland City
417A2,Silver,Trailer,ENSOL TANKER,2022,Trailer,2/18/2024,Southern
417H9,Silver,Trailer,BRIAN JAMES DIGGER,2022,Trailer,4/19/2024,Eastern
419N2,Silver,Trailer,TANDEM,2013,Trailer,3/8/2024,Bay of Plenty
41G54,Silver,Trailer,HOMEBUILT,1980,Trailer,12/12/2023,Waitemata
41L81,Silver,Homebuilt,TRAILER,2019,Trailer,2/4/2024,Central
41NMG,Grey,Trailer,,1984,Trailer,4/3/2024,Northland
41TKZ,Green,Kawasaki,ZX,1996,Roadbike,4/22/2024,Auckland City
41UIK,White,Yamaha,FZR,1987,Roadbike,12/4/2023,Waitemata
41UJJ,Black,Honda,XL,2001,Roadbike,1/6/2024,Bay of Plenty
420F1,Grey,Trailer,BRENTSMITH,2022,Trailer - Heavy,1/18/2024,Waikato
420T3,White,Trailer,HOMEBUILT,1970,Trailer,5/2/2024,Eastern
428M9,Silver,Briford,7X4,2022,Trailer,1/3/2024,Canterbury
42A46,Black,Trailer,HOMEBUILT,2019,Trailer,5/7/2024,Eastern
42A58,Silver,Trailer,GT DIGGER TRAILER,2020,Trailer - Heavy,12/19/2023,Counties/Manukau
42QTB,Red,Suzuki,GN 125D,1987,Roadbike,5/2/2024,Waikato
42YDB,Blue,Suzuki,GS,2006,Roadbike,11/28/2023,Central
430R3,Grey,Trailer,DOMESTIC,2022,Trailer,5/11/2024,Waitemata
437E5,Silver,Titan,DOMESTIC TRAILER,2022,Trailer,4/17/2024,Wellington
438M4,Silver,Trailer,PRESCOTT,2022,Trailer - Heavy,5/10/2024,Counties/Manukau
43E39,Silver,Trailer,PRO,2019,Trailer,1/2/2024,Waikato
43TWH,Red,Suzuki,AD50,1998,Moped,12/14/2023,Auckland City
440G4,Silver,Trailer,JOBMATE,2022,Trailer,12/12/2023,Bay of Plenty
4413M,Silver,Pinto,WELLSIDE,1999,Trailer,4/15/2024,Waikato
442Z9,Silver,Trailer,GT TRAILER,2019,Trailer - Heavy,4/24/2024,Waitemata
446N2,Silver,Aakron Xpress,BOAT TRAILER,2022,Boat Trailer,1/8/2024,Waitemata
44G77,Grey,Trailer,DOMESTIC TRAILER,2019,Trailer,1/8/2024,Waikato
44HMQ,Green,Trailer,HOMEMADE,1980,Trailer - Heavy,1/15/2024,Bay of Plenty
450E2,Grey,Kea,TRANSPORTER,2022,Trailer,4/18/2024,Canterbury
455T9,Silver,Trailer,ROAD CHIEF,2022,Trailer,3/22/2024,Counties/Manukau
45F66,Grey,Trailer,DOMESTIC,2019,Trailer,5/6/2024,Counties/Manukau
45F91,Grey,Trailer,DALE KANE,2019,Trailer,12/4/2023,Waikato
45J52,Red,Trailer,STEALTH,2019,Trailer,3/3/2024,Canterbury
45K22,Silver,Pinto,CAR TRANSPORTER,2019,Trailer,3/11/2024,Counties/Manukau
460E7,Silver,Trailer,HELMACK,2022,Trailer,1/25/2024,Canterbury
463S3,Silver,Trailer,VULCAN,2023,Trailer,5/16/2024,Waikato
467Y2,Silver,Trailer,ELITE 10X5,2022,Trailer,1/8/2024,Canterbury
4704N,Grey,Homebuilt,DOMESTIC,1989,Trailer,1/24/2024,Canterbury
470R9,Silver,Trailer,ROAD CHIEF,2022,Trailer,4/7/2024,Auckland City
479E3,Silver,Trailer,U-TOW NEW ZEALAND,2017,Trailer,2/27/2024,Bay of Plenty
47E48,Black,Trailer,HOMEBUILT,2015,Trailer,2/25/2024,Wellington
47H93,Silver,Trailer,LOCAL,2019,Trailer,12/15/2023,Waikato
47U56,Silver,Kea,KC1268PLYB,2019,Trailer,3/26/2024,Eastern
483F4,Silver,Trailer,BSTB74,2022,Boat Trailer,4/20/2024,Waikato
4851X,,,,0,,3/31/2024,Waitemata
48QUD,White,Homebuilt,,1988,Trailer - Heavy,12/18/2023,Eastern
48ZPJ,Silver,Yamaha,CV50,2008,Moped,5/12/2024,Wellington
492U2,Silver,Briford,TRAILER,2010,Trailer,12/1/2023,Canterbury
493E6,Silver,Trailer,ROAD CHIEF,2022,Trailer,4/6/2024,Bay of Plenty
495T6,Cream,Caravan,ABI 450CTL,1995,Caravan,3/24/2024,Waitemata
495U3,Silver,Trailer,X-TRAILERS,2023,Trailer,11/27/2023,Eastern
49M39,Silver,Trailer,KERRICK KTD3030,2019,Trailer - Heavy,2/16/2024,Canterbury
49YHJ,Red,Kawasaki,EJ,2006,Roadbike,2/25/2024,Bay of Plenty
4C226,Brown,Trailer,REBUILT,2004,Trailer,3/22/2024,Eastern
4D242,Black,Trailer,HOMEBUILT,2016,Trailer,4/16/2024,Waikato
4E614,Silver,Trailer,DOMESTIC TRAILER,2016,Trailer,2/29/2024,Waikato
4F784,Silver,Trailer,CAR TRAILER,2016,Trailer,2/12/2024,Auckland City
4H447,Silver,Trailer,ROAD CHEIF,2011,Trailer,12/1/2023,Waikato
4H565,Silver,Trailer,PRESCOTT,2016,Trailer - Heavy,12/18/2023,Bay of Plenty
4L153,Green,Caravan,HOMEBUILT,2016,Caravan,3/4/2024,Waitemata
4L290,Silver,Factory Built,BRENT SMITH TRAILERS,2016,Trailer,2/29/2024,Waikato
4N407,Silver,Trailer,ECO 74,2016,Trailer,4/3/2024,Central
4N479,Silver,Trailer,DOMESTIC,2016,Trailer,12/17/2023,Counties/Manukau
4RIDHI,Blue,Holden,COMMODORE,2017,Saloon,2/24/2024,Waikato
4S16NS,Red,Hyundai,H1,2011,Light Van,2/26/2024,Waikato
4S297,Silver,Trailer,COMPASS C85,2016,Trailer,2/19/2024,Waikato
4S667,Silver,Trailer,FACTORYBUILT,2016,Trailer,2/23/2024,Waikato
4T796,Black,Trailer,DOMESTIC TRAILER,2016,Trailer,2/9/2024,Bay of Plenty
4U404,Green,Trailer,HOMEBUILT,2016,Trailer,4/17/2024,Central
4U818,Silver,Homebuilt,JETSKI,2016,Boat Trailer,12/13/2023,Waikato
4W909,Black,Trailer,HOMEMADE,2016,Trailer,4/3/2024,Counties/Manukau
4Z444,Silver,Factory Built,MACBILT,2016,Trailer,4/8/2024,Wellington
502M7,Yellow,Trailer,LOCAL,2023,Trailer,2/26/2024,Bay of Plenty
503404,Blue,,,0,Trail Bike,4/14/2024,Canterbury
505N9,Silver,Trailer,MSC 8X5,2023,Trailer,4/10/2024,Wellington
50Z57,Grey,Trailer,DOMESTIC,2019,Trailer,12/27/2023,Counties/Manukau
510M3,Silver,Trailer,BRIAN JAMES 3.5T PLA,2023,Trailer,2/26/2024,Waikato
517B3,Silver,Reid,TRAILER,2006,Trailer - Heavy,11/27/2023,Auckland City
517K9,Silver,Pinto,CAR TRANSPORTER,2023,Trailer,2/5/2024,Canterbury
51Q88,Silver,Trailer,ASD JETSKI,2019,Boat Trailer,2/6/2024,Central
51q88,,,,0,,1/22/2024,Central
521E6,Silver,Trailer,TANDEM AXLE,2023,Trailer,3/16/2024,Northland
524N4,White,Trailer,BEACON,2023,Trailer,1/8/2024,Auckland City
525U8,Silver,Homebuilt,TRAILER,2023,Trailer - Heavy,4/20/2024,Auckland City
528B7,Silver,Trailer,"7 X 4 ,MEGASTRONG",2023,Trailer,11/30/2023,Bay of Plenty
